,caption,add_tail,repeat_event,repeat_word,delete_word,error
113,a gun be cock and fire rapidly and ping against the floor,0,0,0,1,1
114,some liquid flow while kitchenware kitchenware hit before some liquid flow,0,1,1,0,1
115,a male child speak and plastic crumple and crinkle follow by as tic crumple,1,1,0,0,1
116,someone type on a keyboard as,1,0,0,0,1
117,water splash and gurgle as people talk of a after water spl,1,1,0,0,1
118,a man talk while different bird tweet,0,0,0,0,0
119,a train hiss of a,1,0,0,1,1
120,water be fill a basin and a young man be speak of a,1,0,0,0,1
121,a man speak follow by glass shuffling then wood clank before glass clank proceed by liquid pour pour into a container,0,0,1,0,1
122,"a boat motor be run and then accelerate , and water be splash a follow by a boat motor be run",1,1,0,0,1
123,water be flow make bubbly bubbly sound and splash around,0,0,1,0,1
124,continuous hiss with bell and a honk a,1,0,0,1,1
125,a a frog croak,0,0,1,0,1
126,a sewing machine operate with squeak sound follow by knock,0,0,0,0,0
127,"the whir of machine motor , the the clacking of wooden board",0,0,1,0,1
128,a dog bark while people speak,0,0,0,0,0
129,someone speak as water run into a sink,0,0,0,0,0
130,clank with brief speech,0,0,0,0,0
131,a person talk as a crowd laugh,0,0,0,0,0
132,a woman talk follow by sizzling and frying of food,0,0,0,0,0
133,a train engine be run and rhythmically chug,0,0,0,0,0
134,a steam engine run on railroad track as steam heavily hiss,0,0,0,0,0
135,dog growl while a be talk follow by dog bark,0,0,0,1,1
136,a spray be trigger in the,1,0,0,0,1
137,several engine engine work in idle nearby after several engine work in idle nearby,0,1,1,0,1
138,small bird chirp people speak and small bird chirp,0,1,0,1,1
139,a large engine roar and someone be shout a loud short rout,0,0,0,0,0
140,talk while while an audience laugh and water run from a faucet,0,0,1,1,1
141,"a toilet flush , water flow",0,0,0,0,0
142,a man be speak and water be gurgle in the background,0,0,0,0,0
143,a man be narrate while instrumental music play and a plane engine sound,0,0,0,0,0
144,a be give a speech with,1,0,0,1,1
145,food be sizzling dish be clang together and a woman be speak,0,0,0,0,0
146,"people talk in foreign language , train horn",0,0,0,0,0
147,"people applaud , and man speak and",1,0,0,1,1
148,vehicle drive and honk its,0,0,0,1,1
149,motor slow down,0,0,0,0,0
150,a be talk and spray something a,1,0,0,1,1
151,a few slam be follow by referee whistle,0,0,0,0,0
152,phone ring then two man speak with,1,0,0,0,1
153,"an engine vibrate loudly nearby , and then wind blow as",1,0,0,0,1
154,vehicle traffic with a distant horn honk follow by a loud horn honk,0,0,0,0,0
155,singing follow by a man speak then a bang,0,0,0,0,0
156,a bus slow down and its engine decelerate quietly,0,0,0,0,0
157,an engine work while some frog croak in the,1,0,0,0,1
158,whimper and long yipping .,0,0,0,0,0
159,loud wind noise and a car car horn and a person talk at the end,0,0,1,0,1
160,metal clang together in an enclose space,0,0,0,0,0
161,a small motor be vibrate consistently with,1,0,0,0,1
162,engine be attempt to be start up and then start and idle,0,0,0,1,1
163,an electronic bleep beep repeatedly with,1,0,0,0,1
164,a baby laugh and a man speak as,1,0,0,0,1
165,a cat be meow and and over,0,0,1,1,1
166,a train be blow its horn as it pass by,0,0,0,0,0
167,people in a small room be chant and singe,0,0,0,0,0
168,a bus engine idle and people be have have a conversation,0,0,1,0,1
169,a bell be ring ring and a train blow its horn twice long and hard,0,0,1,0,1
170,people be talk and bee be quietly buzz in the background,0,0,0,0,0
171,a person speak and a small engine spool up,0,0,0,1,1
172,as the wind blow steadily a bird sing and an engine go by,0,0,0,0,0
173,a sheep bleat and some object hit follow by,1,0,0,0,1
174,insect buzz intermittently follow by an insect buzz intermittently,0,1,0,1,1
175,fast rubbing follow by speech follow by f,0,1,0,0,1
176,a man speeche while a crowd whisper,0,0,0,0,0
177,"explosion , gun fire , and and whiz sound after whiz sound",0,1,0,1,1
178,metal clash and a man speak as a man speak,0,1,0,0,1
179,bird bird chirp and rustle,0,0,1,0,1
180,guy be be speak follow by some ceramic sound,0,0,1,1,1
181,continuous mechanical beep a,1,0,0,1,1
182,animal noise and whimper,0,0,0,0,0
183,a woman sneeze before describe the side effect of her cold in the,1,0,0,0,1
184,woman woman speak while a pan sizzle,0,0,1,0,1
185,chatter and then a car horn beep,0,0,0,0,0
186,train horn toot toot multiple time,0,0,1,0,1
187,rain rain hit the roof,0,0,1,0,1
188,people be be push back on her own people be be push back on her own,0,1,0,1,1
189,"a group of bird cheep , man speak",0,0,0,1,1
190,two woman speak while duck quack in the background,0,0,0,0,0
191,a boat boat or vehicle engine run steadily,0,0,1,0,1
192,vibration and noise of a work motor with with,1,0,1,0,1
193,rapid gunfire and gunshot,0,0,0,0,0
194,door be slide open,0,0,0,1,1
195,a flushing flushing of water and people talk,0,0,1,0,1
196,an idling engine sound be follow by an revving,0,0,0,1,1
197,child be speak follow by laughter,0,0,0,0,0
198,"a man speak in the distance with traffic pass in the distance , then a man nearby and a door open after s in the distance , then a man speak nearby",0,1,0,1,1
199,an engine idle consistently,0,0,0,0,0
200,a man speak and type type,0,0,1,0,1
201,sand and and crack,0,0,1,0,1
202,people speak on on a move bus,0,0,1,0,1
203,water pour out a surface,0,0,0,1,1
204,international music play as water pour into a pot and finally some splash,0,0,0,0,0
205,hum of engine with some click and crackle after crackle,0,1,0,0,1
206,a train horn horn sound then someone laugh,0,0,1,0,1
207,"several small shuffle of hard object knock , follow by loud explosion intersperse by a grown man chuckle as",1,0,0,0,1
208,a explosion and a man speak,0,0,0,0,0
209,clank follow by a toilet flushing and then some more clanking,0,0,0,0,0
210,church bell chime loudly and repeatedly after church bell chime loudly,0,1,0,0,1
211,the engine of a small machine pull chain,0,0,1,1,1
212,a vibrate noise,0,0,0,0,0
213,a dog be bark people be talk talk,0,0,1,0,1
214,a horse neigh and bird chirp outside,0,0,0,0,0
215,bird be flap their wing and some bird call and,1,0,0,0,1
216,a person snore follow by a person snore,0,1,0,0,1
217,motor running follow by murmuring and gunshot a as faint faint murmuring,1,1,1,1,1
218,a distant train horn follow by the clickety - clank of the train on the rail while a distant train horn,0,1,0,1,1
219,an be spray,0,0,0,1,1
220,a thump noise and a bird chirps follow by a thump noise,0,1,0,0,1
221,a toilet flush and woman laugh in the background,0,0,0,1,1
222,"a man speak follow by electrical hum , some clicking , and liquid pour",0,0,0,1,1
223,female speak follow by child,0,0,0,1,1
224,frog croak and chirp,0,0,0,0,0
225,continuous emergency siren horn with,1,0,0,1,1
226,high pitch continuous ringing follow by clank and rustle before rustle,0,1,0,0,1
227,rub and scraping follow by a soft tool drilling then a loud power tool drilling in the,1,0,0,1,1
228,a child and man speak then whistle,0,0,0,0,0
229,rooster crow and wing flap a,1,0,0,0,1
230,"an engine rev , tire squeal , a car accelerate into the distance the",1,0,0,1,1
231,rustle together with male speech and white noise noise and,1,0,1,0,1
232,water run follow by paper ripping,0,0,0,0,0
233,a be shuffle and a clang occur,0,0,0,1,1
234,a man be speak then a sewing machine briefly turn on and off follow by off,0,1,0,0,1
235,a pigeon coo softly and then there be be a lot of peck and coo by a lot of bird with,1,0,1,0,1
236,clip - clop of a horse trot by and then,1,0,0,0,1
237,a man speak with some dry scraping and sanding before ing,0,1,0,0,1
238,a man and a woman talk as a telephone be ring,0,0,0,0,0
239,water run from a faucet,0,0,0,0,0
240,wind blow and bird tweet after wind blow,0,1,0,0,1
241,a drill run continuously,0,0,0,0,0
242,an engine rev very close by and then idle rickety,0,0,0,0,0
243,a loud engine idling a,1,0,0,0,1
244,a man speak as water flow down down a stream,0,0,1,0,1
245,move of object follow by by a beep,0,0,1,0,1
246,female follow by a sewing machine in operation while female speech,0,1,0,1,1
247,man be speak and loud loud bang happen,0,0,1,1,1
248,water move around and splash loudly as a man grunt at the end,0,0,0,0,0
249,a woman speak and crowd cheer,0,0,0,0,0
250,a vehicle drive by quietly and slowly,0,0,0,0,0
251,vehicle be race by at a fast speed,0,0,0,0,0
252,wind be blow and woman be laugh,0,0,0,0,0
253,a man talk and traffic driving follow by a man talk,0,1,0,0,1
254,a frog chirps and other frog and cricket chirp in the background,0,0,0,0,0
255,a large engine hum and speed down a roadway and a,1,0,0,0,1
256,siren ring out and car speed by in background,0,0,0,1,1
257,a woman speak follow by laughter a cat cry,0,0,0,1,1
258,a man speak and a computer keyboard be click on the,1,0,1,1,1
259,a toilet be flush flush as a toilet be flush,0,1,1,0,1
260,wind blow blow in a tunnel,0,0,1,0,1
261,dog continuously bark while middle aged woman vocalize in distinct accent and laugh,0,0,0,0,0
262,an engine be rev up follow by an engine be rev up,0,1,0,0,1
263,motorcycle pass by loudly as people talk nearby,0,0,0,0,0
264,"people speak , some splashing and clapping follow by laugh",0,0,1,1,1
265,buzzing of nearby insect with distant quacking and faint speak speak from a nearby man and then and buzzing of nearby insect,1,1,1,0,1
266,a of people be talk and a police siren go off loudly and a,1,0,0,1,1
267,an engine sound be follow by the sound of helicopter blade blade,0,0,1,0,1
268,multiple car engine run,0,0,0,0,0
269,"a man talk nearby , follow by a door closing , after which the man continue to talk",0,0,0,0,0
270,a vehicle engine revving and accelerate while drive by,0,0,0,0,0
271,the man be speak and the backside spray sound before the man be speak,0,1,0,0,1
272,duck be quack and an adult female speak and then,1,0,0,0,1
273,the sound of dry leave rub against one another in response to be move by the wind or another cause,0,0,0,0,0
274,a race vehicle accelerate its engine,0,0,0,1,1
275,she be talk,0,0,0,0,0
276,woman speak follow by child,0,0,0,1,1
277,the water tap be run water out of the faucet before the water tap be run water water out of the faucet,0,1,1,0,1
278,a drill motor be run run,0,0,1,0,1
279,"a woman speak to a crowd , some camera click in the",1,0,0,0,1
280,a vehicle engine idle roughly,0,0,0,0,0
281,someone be type key on a computer keyboard at a fast pace as t pace,0,1,0,0,1
282,"a car engine hum nearby , and then people talk quietly",0,0,0,0,0
283,an engine be be switch on,0,0,0,0,0
284,dog dog snuffling and pant,0,0,1,0,1
285,a whistle blow then a car come and pass very fast while a whistle blow then a car come,0,1,0,0,1
286,the be pass pass by,0,0,1,1,1
287,a toilet flush away water while a bathroom stall door make noise,0,0,0,0,0
288,a loud long burp be follow by a laugh,0,0,0,0,0
289,"water be run and gurgle , and a female speak in the background",0,0,0,0,0
290,an adult male speak and a medium vehicle engine start up,0,0,0,0,0
291,someone cry with dog barking and woman 's voice in background,0,0,0,0,0
292,vehicle vehicle spin tire in place,0,0,1,0,1
293,rustle follow by a toilet flush,0,0,0,0,0
294,a vehicle engine slowly accelerate and then,1,0,0,0,1
295,a couple of sequence where a computer - generate voice be follow by type,0,0,0,0,0
296,a child sneeze repeatedly follow by a child sneeze repeatedly,0,1,0,0,1
297,steam follow by a slide whistle and then,1,0,0,0,1
298,a man speak and bee buzz and a as bee buzz,1,1,0,0,1
299,high screech follow by rustle and some croaking,0,0,0,1,1
300,something squeal squeal in protest and then be clank,0,0,1,1,1
301,a person talk nearby as an engine idle nearby and wind blow while an engine idle nearby,0,1,0,0,1
302,paper crackle nearby as it be manipulate,0,0,0,0,0
303,a race car be drive as a man talk,0,0,0,0,0
304,a vehicle engine be accelerate and a man speak,0,0,0,0,0
305,"ambient water noise , follow by electronic motorboat engine",0,0,0,0,0
306,water drip and gurgle as water drip,0,1,0,0,1
307,a machine work,0,0,0,0,0
308,bird chirp and a person whistle,0,0,0,0,0
309,"a child breathe hard , cough , and then cry",0,0,0,0,0
310,"bird be chirp , cricket be chirp , rustling occur , and an adult male speak",0,0,0,0,0
311,"an adult male speak , water run , splash and gurgle , and a thump occur as gurgle",0,1,0,0,1
312,a car start up and be rev,0,0,0,0,0
313,a man man be speak follow by a thud before a man be speak,0,1,1,0,1
314,"approach vehicle with blowout , bird in background",0,0,0,0,0
315,water and small person person talk,0,0,1,1,1
316,"traffic be audible , a motor vehicle pass by , and slight clicking occur",0,0,0,0,0
317,"a child cry , a woman speak , cat shriek and the child cry more",0,0,0,0,0
318,wind blow hard follow by two man talk in distant ending with a frog croak while wind blow hard,0,1,0,0,1
319,traffic rev up far in the distance,0,0,0,0,0
320,a back and forth forth sand noise,0,0,1,0,1
321,a helicopter whir consistently,0,0,0,0,0
322,a man talk while a model airplane fly,0,0,0,0,0
323,crackling follow by an explosion,0,0,0,0,0
324,man speak with splash water follow by,1,0,0,0,1
325,a door open up nearby as a door open up nearby,0,1,0,0,1
326,high pitch whistling follow low whistling as as low whistling,0,1,1,1,1
327,a machine work while wind blow strongly follow by a siren be trigger and a,1,0,0,0,1
328,a man speak and type on a keyboard,0,0,0,0,0
329,wind blow and people laugh follow by a a horse neigh as,1,0,1,0,1
330,a car engine accelerate follow by a beep,0,0,0,0,0
331,a woman be narrate in a foreign language,0,0,0,0,0
332,"sewing machine go , then stop start up again",0,0,0,1,1
333,continuous digital beep,0,0,0,0,0
334,numerous background noise of people and animal that end with an animal bellow after animal that end,0,1,0,0,1
335,bird be flap their wing before bird be flap their wing,0,1,0,0,1
336,"squeaking occur two female speak and laugh , and a hoofed animal walk by",0,0,0,1,1
337,an aircraft engine run,0,0,0,0,0
338,some click follow by a man speak then some bang,0,0,0,0,0
339,a dog bark in concert with rhythmic thumping,0,0,0,0,0
340,"an aircraft motor be run and buzzing , propeller be vibrate , and two adult male speak faintly in the background",0,0,0,0,0
341,food sizzling with metal clanging follow by on a porcelain surface as an air ventilation system run,0,0,0,1,1
342,"a crowd cheer , a man speak to them",0,0,0,0,0
343,an engine be idle,0,0,0,0,0
344,pigeon make lot of different sound,0,0,0,0,0
345,a man be speak and car be speed by follow by a man be speak,0,1,0,0,1
346,a motorboat engine be be in use,0,0,1,0,1
347,cry frantically,0,0,0,1,1
348,bird chirp and people speak,0,0,0,0,0
349,an be stomp its foot,0,0,0,1,1
350,woman give a speech,0,0,0,0,0
351,a loud click and shuffling occur,0,0,0,0,0
352,car drive fast then brake follow by car drive f,0,1,0,0,1
353,"a dog , shuffle and bark on the",1,0,0,1,1
354,an old man be give a speech a,1,0,0,0,1
355,loud engine attempt to get start,0,0,0,0,0
356,the ticking and chiming of a clock clock,0,0,1,0,1
357,"a musical instrument bleep , and then a machine beep loudly several time",0,0,0,0,0
358,wind be blow and dog be pant and whimper gently,0,0,0,0,0
359,clank of dish in the background while an old man speak,0,0,0,0,0
360,paper rustle,0,0,0,0,0
361,television play in background then a young child sneeze and speak follow by an adult woman who speak,0,0,0,0,0
362,a bell bell chime several time,0,0,1,0,1
363,"man and talk , whistle and engine revving follow by",1,0,0,1,1
364,a woman speak follow by a baby coo,0,0,0,0,0
365,wind blow in a microphone and a group group of people talk,0,0,1,0,1
366,a man be loudly follow by a man be snore loudly,0,1,0,1,1
367,engine idle quietly with light follow by light wind,0,1,0,1,1
368,vehicle pass and the wind blow,0,0,0,0,0
369,motor vehicle be race and skid on the follow by motor vehicle be race,1,1,0,0,1
370,crumple noise a female voice speak,0,0,0,1,1
371,a machine run very loudly,0,0,0,0,0
372,an idle vehicle engine follow by a musical horn honk then a truck accelerate,0,0,0,0,0
373,a bell ring and a train pass nearby with,1,0,0,0,1
374,bird tweet and vocalize as,1,0,0,0,1
375,clang sound then a toilet flush with as clang sound then a toilet flush,1,1,0,0,1
376,some surface be hit by a metallic tool as some surface be by a metallic tool,0,1,0,1,1
377,"a man speak , then lot of click and rustle and a pig squeal",0,0,0,0,0
378,someone be snore softly and there be a light static and a voice in the background background,0,0,1,0,1
379,type on a keyboard follow by a man speak then plastic cranking,0,0,0,1,1
380,a man talk and type on a keyboard before a man talk,0,1,0,0,1
381,a crowd applause loudly nearby as a person talk in the distance as a person talk in the,0,1,0,1,1
382,"in a quiet environment , an adult male be speak",0,0,0,0,0
383,several bird tweet while a man talk,0,0,1,1,1
384,vehicle pass by with a loud loud horn honk follow by vehicle p,0,1,1,1,1
385,an emergency siren power down follow by audio hissing and muffled metal clanging,0,0,0,0,0
386,laugh lightly,0,0,0,1,1
387,a vehicle engine idle,0,0,0,0,0
388,a suck air and belch very loudly before belch very loudly loudly,0,1,1,1,1
389,telephone ringing follow by a woman speak,0,0,0,0,0
390,a car accelerate and skid,0,0,0,0,0
391,a man speak with a distant boom of a jet engine on the,1,0,0,0,1
392,rustle with distant people speak follow by a girl speak,0,0,0,0,0
393,people be in conversation and laugh,0,0,0,0,0
394,hum and sputtering an idle engine revving as after hum,1,1,0,1,1
395,water run continuously,0,0,0,0,0
396,click clack then bell ring as click clack then bell ring,0,1,0,0,1
397,a baby cry loudly as a woman grumble,0,0,0,0,0
398,church bell ring in the distance multiple time as people talk nearby,0,0,0,0,0
399,rustle and white noise follow by a sneeze on the,1,0,0,0,1
400,gunshot ring out and and an explosion,0,0,1,1,1
401,a woman speak dish clank,0,0,0,1,1
402,man speak with with distant traffic pass,0,0,1,0,1
403,high pitch squeak with people and siren in the distance a,1,0,0,1,1
404,rumble of an engine follow by an abrupt sharp tone then an engine accelerate while an abrupt sharp sharp tone then an engine accelerate,0,1,1,0,1
405,a harsh motor sound,0,0,0,0,0
406,a machine run rapidly,0,0,0,0,0
407,an car revs the engine,0,0,0,1,1
408,wind blow strongly while people people talk far away of a,1,0,1,0,1
409,wind blow follow by wood,0,0,0,1,1
410,a man talk a drill tool work,0,0,0,1,1
411,a sewing machine work while a man talk,0,0,0,0,0
412,a motorcycle pass by and then a man talk as the motorcycle start to to come back,0,0,1,0,1
413,"a small motor run , something beep , and then metal hit metal",0,0,0,0,0
414,static in the background while a child snore rhythmically,0,0,0,0,0
415,man and woman speak after liquid be pour,0,0,0,1,1
416,rail car noise and horn start to fade into the distance,0,0,0,0,0
417,air rushing follow by a couple of sneezes follow by a couple of sneezes,0,1,0,0,1
418,a gun shoot with lot of while lot of revert,0,1,0,1,1
419,water run and bell ring while wind blow and a goat goat bleat,0,0,1,0,1
420,a rustle sound and a brief tapping and and drum,0,0,1,0,1
421,a man speak with a bee buzzing and then a motorize vibration with some click .,0,0,0,0,0
422,a woman speak as food sizzle then another woman laugh,0,0,0,0,0
423,some rattling follow by a loud burst of an explosion then more rattling,0,0,0,0,0
424,an emergency siren wail as a man speak a radio while a muffled vehicle engine accelerate follow by another man yell in the distance,0,0,0,1,1
425,bird tweet while a ball be play,0,0,0,0,0
426,a man speak and crumple paper,0,0,0,0,0
427,"electronic beep occur , concurrent with an adult male speak as and electronic beep occur , concurrent",1,1,0,0,1
428,"a man speak follow by a tap noise , and a man and child communicate follow by another man talk",0,0,0,0,0
429,a child laugh loudly and a a man shout in the,1,0,1,0,1
430,a man speak as the wind blow follow by a motorboat travel and the engine accelerate,0,0,0,0,0
431,a large bell ring after a large bell ring,0,1,0,0,1
432,young child crying and woman speak,0,0,0,0,0
433,an infant crying follow by a woman,0,0,0,1,1
434,a vehicle vehicle be accelerate,0,0,1,0,1
435,wind blow while a helicopter ' engine run,0,0,0,0,0
436,type on a computer keyboard,0,0,0,0,0
437,a man speak as music play then suddenly two explosion,0,0,0,0,0
438,several motorcycle race with engine hum and wind blow and,1,0,0,0,1
439,"some rumble , then a melodious vehicle horn",0,0,0,0,0
440,"adult female be laugh , and thumping occur a",1,0,0,0,1
441,"a wind blow strongly a microphone , then a blasting , blow sound",0,0,0,1,1
442,clink of bell with goat bleat before goat bleat,0,1,0,0,1
443,turkey gobble as a duck quack while a woman talk and a bird squawks in the background,0,0,0,0,0
444,a baby cry and breathing,0,0,0,0,0
445,loud wind noise with someone talk and laugh a,1,0,0,0,1
446,a man speak as a ball bounce on a hard surface in the background with wind blow into a microphone,0,0,0,0,0
447,beat drum get fast than child voice and then adult male voice,0,0,0,1,1
448,a man speak and then wind blow and a woman speak,0,0,0,0,0
449,a woman be speak loudly,0,0,0,0,0
450,leave blow in the the wind,0,0,1,0,1
451,a sustained and continuous spraying sound,1,0,0,1,1
452,pot and pan rattle in the background,0,0,0,0,0
453,"a dog bark as another one whimper , someone place an item down",0,0,0,0,0
454,a man deliver a speech and,1,0,0,0,1
455,"loud vibration of a car idle rev , it stop of a",1,0,0,1,1
456,a dog bark and growl,0,0,0,0,0
457,clack noise with a horn of a,1,0,0,1,1
458,a water faucet be run then turn off off,0,0,1,0,1
459,vehicle run loudly with a clanking sound on the after a clanking sound,1,1,0,0,1
460,a male have a speech with,1,0,0,0,1
461,"an airplane propeller spin loudly , and then a person bang on a window multiple time",0,0,0,0,0
462,a man speak and music play,0,0,0,0,0
463,dog bark,0,0,0,1,1
464,a truck engine idle with music in the background,0,0,0,0,0
465,man speak loudly and then,1,0,0,0,1
466,a woman be speak,0,0,0,0,0
467,man speak with crinkle sound in the background as,1,0,0,0,1
468,boy be talk and a dog be bark and,1,0,0,0,1
469,a drill be in use on the,1,0,0,0,1
470,applause follow by speech,0,0,0,0,0
471,bell ring ring continuously,0,0,1,0,1
472,heavy wind and before footstep,0,1,0,1,1
473,"a young child cry , and adult female speak , and the continue to sob and speak",0,0,0,1,1
474,a toilet and a door open,0,0,0,1,1
475,clank follow by a man speak a bang,0,0,0,1,1
476,bell ring loudly,0,0,0,0,0
477,a buzzing follow by a bee fly with,1,0,0,0,1
478,bird bird chirp and insect buzz while wind blow a microphone,0,0,1,1,1
479,man speak and a motor run,0,0,0,0,0
480,a woman speak continuously continuously,0,0,1,0,1
