caption,fluency_issue
water is splashing and gurgling and an adult female and adult female are speaking,1
a sheep bleats and a sheep bleats,1
a man talks while something is fried followed by music playing in the background,0
a vehicle engine is running and,1
a woman speaks while food sizzles and a pan sizzles,0
a train running on railroad tracks as a group of people talk in the background followed by a series of,1
a beep sounds several times while a woman talks,0
a machine motor humming as a machine hums and sprays,1
a toilet is flushed followed by a,1
a clock ticking as a group of people talk in the background,0
people are talking and laughing,0
clanking and distant murmuring followed by clanking and distant speech,1
a man is giving a speech,0
several goats bleat,0
a car horn honking followed by a,1
Splashing and flowing water noise are followed by the end of a toilet flush,0
steam hisses as people talk in the background,0
a man speaks while wind blows,0
a telephone bell rings several times,0
a man speaks with distant birds cooing,0
a man speaks as water runs and splashes,0
a duck is quacking and a dog is panting,0
A toilet flushes,0
an emergency siren is triggered and moves away,0
a power tool is followed by a,1
a goat bleats and a bell rings,0
an aircraft engine is running,0
a person is snoring loudly and a man speaks,0
a power tool is running and a,1
Water running quickly then slows to a drip,0
a music is played while a music is played,1
a bell rings several times and a clock ticks,0
A car is revving its engine,0
Someone dials on a telephone,0
a baby laughs followed by a woman laughing and a,1
Mechanical humming and metal banging followed by people speaking a train horn blowing,1
a man is speaking and a child is speaking in the background,0
a series of gunshots firing as a man grunts followed by a series of gunshots firing alongside a series of,1
a train horn is followed by a,1
Fast scratches of something sharp onto plastic,0
wind blows and people speak,0
"Someone burps, meows like a cat, eats like an animal and pours a drink",0
a water is running followed by a toilet flushing,0
Two thumps and bells ring four times while there is static in the background,0
a baby is crying and a woman is laughing,0
wind blows and people are cheering in the distance,0
an emergency siren is triggered while a vehicle moves and a man talks,0
food sizzles in a pan as a woman speaks and food sizzles in the background,1
a gun is fired several times and a man is talking over a radio,0
a power tool drilling then powering down,0
a man speaks followed by a goat bleating and a goat bleating,1
a person is snoring loudly,0
Silence followed by honking horn,0
high pitched vibrations of a power tool followed by a man speaking,0
a sewing machine is followed by a,1
a cuckoo clock is ticking and a,1
a emergency vehicle siren is followed by sirens,1
Rustling followed by high pitched vibrations and sanding with a man speaking,0
a person is walking on a surface,0
a woman speaks as food fries in a pan,0
an adult male speaks and laughs and an adult male laughs,1
a goat baaing as footsteps walk on grass,0
a vehicle engine is running and people are talking in the background,0
A woman speaking followed by animal whimpering and laughter,0
a man speaking as food and oil sizzles followed by metal clacking then a man speaking,0
a loud explosion followed by a man speaking and a,1
a person burping followed by a,1
Musical ringing followed by a hum of an engine,0
a sheep bleats loudly nearby,0
A girl speaks then a large object falls and girls shouts,0
"Sizzling, a man speaking",0
Explosion followed by laughter from a crowd,0
a water is running followed by a,1
a siren wails and then stops,0
a loud explosion followed by a,1
"A rubbing, a purposeful sanding of two rough surfaces",0
people are talking and a dog is barking,0
Bell and/or chime music,0
a woman is speaking and water is splashing and a,1
a man speaks and a sewing machine runs,0
a machine motor humming as water sprays,0
a man speaks and ducks quack,0
clanking and clanking with people speaking in the distance,1
a person sneezes several times nearby,0
a man is speaking and wind is blowing lightly,0
a wind blows and waves crashing in the distance,0
a man is speaking and a crowd is cheering and clapping,0
emergency vehicle sirens blare,0
a siren rings and then a siren sounds,1
a series of gunshots firing as a man talks followed by a series of rapid gunfire shots and a man,1
a train blows its horn as it passes by,0
a door is being opened and then a door closes,0
a series of gunshots firing as a gun is fired and a music is played,1
a telephone ringing,0
a baby cries and cries,1
A person is moving wooden objects around,0
a man is speaking,0
a baby laughs and a woman laughs,0
a train running on railroad tracks followed by a train horn blowing as a train engine runs on railroad tracks,1
A male speaking and a motor running,0
Rustling and heavy wind,0
water is splashing followed by a man speaking and a,1
birds chirp in the background as a man speaks and then a man talks nearby as birds chirp in the,1
A man talks and then some surface is rubbed,0
a power tool drilling followed by plastic clacking then a power tool drilling then powering down,0
Train wheels squeak and whistles blow as a train passes nearby,0
a man is speaking and a crowd in the background,0
A motorcycle driving by as metal lightly clanks followed by a man talking in the background during a man speaking over an intercom in the distance,0
Faint ticks followed by humming,0
A loud sizzling noise followed by a male voice talking,0
a door opening and closing,0
a gun is fired and a gun is fired,1
a train horn blows as a train passes by,0
A woman speaks noise of flowing water in the background,0
a man is giving a speech and a,1
a telephone rings and a,1
"Birds chirping, air tool is turned being used",0
a person sneezes several times and then sneezes,1
wind blows hard and people speak and laugh,0
a cat meows followed by a cat meowing,1
a horse is trotting and a man is speaking,0
a man speaking followed by a series of gunshots firing as a man is talking followed by a series of,1
water is running followed by a toilet flushing,0
a vehicle engine is followed by a man speaking and a,1
a car engine is followed by a,1
frogs are croaking and crickets are chirping in the background,0
Loud bursts of hissing,0
a train horn blows followed by a,1
an engine is being revved up and then idles,0
a person sneezes several times,0
a baby cries and a woman speaks,0
a train horn sounds and then a train horn sounds,1
a spray is released several times,0
a machine runs and metal clacking occurs,0
a muffled engine sound,0
a vehicle horn honking followed by a vehicle horn honking several times in the distance,1
sizzling and crackling are occurring and an adult male speaks in the background,0
an adult male is speaking and a crowd of people are laughing,0
a man speaks and ducks quacking and a,1
People laughing and speaking,0
A musical horn play in the distance,0
an adult male is speaking and a motor vehicle engine is started up and idles,0
a man speaks followed by a power tool drilling,0
an adult male is speaking and a tool motor is running and rhythmic thumping is present,0
a vehicle engine running followed by a musical horn honking,0
a woman speaks followed by a horn honking,0
a person speaks and then a toilet flushes,0
a man speaks as a crowd of people talk in the background,0
an insect buzzing followed by a frog croaking and a man speaking,0
an emergency siren is triggered and a vehicle moves,0
a crowd applauds and a man speaks,0
a power tool is being used,0
a baby laughs and a,1
a vehicle horn honking followed by a train running on railroad tracks as a train horn blows in the distance,0
a boat motor is running water is splashing and wind is blowing,0
a man speaks and goats bleat,0
A machine runs rapidly,0
an adult male is speaking and a motor vehicle engine is idling,0
a man speaks followed by an explosion and a man speaking,1
a person is walking on a keyboard,0
a man speaks followed by a whoosh and a man talking,1
a baby laughs and a woman speaks,0
a car engine revving followed by explosions and a,1
an insect buzzing followed by a frog croaking then a frog croaking then a frog croaking then a frog croaking,1
a machine gun fires rapidly and rapidly,1
a man speaking followed by a series of gunshots firing as a group of people talk in the background,0
a person snoring,0
a man speaks while food sizzles and music plays,0
an adult male speaks and a motor vehicle engine is running and rhythmic clicking occurs,0
Wood being moved around or worked on,0
a man speaking,0
an adult male is speaking and water is splashing,0
a person sneezing,0
A man speaking as footsteps shuffle on gravel followed by a vehicle door opening,0
a train running on railroad tracks followed by a train horn blowing and a man speaking over a loudspeaker,0
wind blows and a man is giving a speech,0
a crowd of people talking and laughing followed by a door closing,0
a clock ticking and chiming,0
a baby is crying and a woman is speaking,0
a machine runs and a spray is released,0
a man speaks followed by a horn honking and a man laughing,0
a cat is meowing and a person is talking,0
the wind is blowing a motor vehicle engine is running and fades somewhat,0
a car engine is idling and a door is closed,0
a machine gun is fired rapidly,0
a man speaks as food sizzles and a pan,1
a duck quacking and a,1
a spraying is followed by a,1
a drill is being used,0
a bird chirps and a door closes,0
humming of an oncoming train with warning bells ringing and a man speaking,0
a woman speaks followed by a door opening and closing,0
rustling followed by a toilet flushing,0
a helicopter engine is running and fades somewhat,0
an emergency siren is triggered followed by an emergency vehicle siren,0
a large motor vehicle engine is running and people are speaking in the background,0
"Grease is frying in a skillet, a woman speaks, metal clanks",0
a loud explosion followed by a scream and a man yelling,0
Strong wind is blowing and water is splashing,0
Horn honking intermittently,0
sizzling and crackling are occurring and an adult female is speaking,0
a man speaks followed by several gunshots,0
an aircraft flies overhead,0
some liquid flows while some liquid flows,1
a man is speaking and a,1
a man is speaking and a bell ringing,0
A fancy car horn plays a song over and over,0
a man speaking with a woman speaking in the background,0
water is gurgling and a small splash,0
a whoosh followed by a,1
a sewing machine is running followed by a,1
a gun is followed by a man speaking and gunshots,1
a man speaking followed by a horn honking and a group of people laughing in the background followed by a,1
a child burps and people laugh and speak,0
Ringing of an alarm with passing traffic,0
a dog whimpers and a,1
a duck is quacking in the background and a duck is quacking in the background,1
a dog sneezes followed by a,1
Several air whooshes are going by,0
a sewing machine works and then stops followed by a beep,0
a person sneezing and breathing heavily,0
a bell ringing followed by a,1
a loud burst followed by a man speaking and a loud bang,0
an adult male is speaking and people are laughing in the background,0
an emergency siren is triggered while a vehicle moves,0
a man is giving a speech in a foreign language,0
birds are chirping and a duck quacks,0
a hissing is followed by a,1
a goat bleating and a,1
a baby is crying,0
a frog croaking and,1
a door is followed by a,1
a machine runs and sprays something,0
A small engine continuously running,0
a man speaks followed by a motorcycle engine starting up and a man speaks,1
a man speaks and a crowd laughs,0
a baby cries loudly,0
a man speaks as a motor hums and water splashes,0
a man speaks and a woman speaks and laughs,0
an object falls on a hard surface,0
Scraping and stirring with a man speaking and food sizzling,0
a man talks while something is fried followed by some liquid flowing,0
a train running on railroad tracks followed by a train horn blowing as a train horn blows in the distance,1
a man speaking followed by a series of rapid gunshots firing,0
an adult male is speaking and a tool motor is running whirring occurs and an adult male speaks in the,1
a door is closed and a door is closed,1
a train running on railroad tracks as a train horn blows in the distance,0
a man is speaking and a vehicle engine is running followed by a,1
a whoosh followed by a man speaking and a,1
a pig oinks and a pig oinks,1
a train running on railroad tracks followed by a train horn blowing,0
a clock ticking as a group of people talk in the background followed by metal clacking then a group of,1
the wind is blowing and a motor vehicle engine is running and fades somewhat,0
a man speaks and food sizzling in the background,0
Low frequency rumble of a boat motor,0
a machine gun fires and a spray is released,0
a cuckoo clock tick locking and chiming,0
a clock is ticking and a clock is ticking in the background,1
A child speaks and a clatter occurs,0
a horn is triggered several times while a vehicle moves getting closer,0
a man speaks and water is running in the background,0
Sheep baaing and walking through the grass,0
Older man giving speech,0
birds chirping followed by a car door opening and closing,0
Emergency vehicle siren passing by,0
a toilet flushes and water drains,0
a man is speaking and a door is,1
A toilet flushes closely nearby as birds chirp in the distance,0
a motor vehicle engine is running and accelerates and an adult male speaks in the background,0
An adult male speaks and three gunshots occur,0
"Man speaking in a foreign language, birds singing in distance.",0
a pig oinks nearby,0
a dog is panting and a,1
a baby is crying and a,1
a man is speaking and a dog is barking,0
birds are chirping and a door is closed,0
a woman is speaking while food is frying and frying food in the background followed by a woman talking,1
a motorcycle engine is idling and a dog is barking,0
Splashing water with children speaking,0
a car engine revs and people yell and scream,0
a man is speaking and food sizzling in the background,0
a power tool is being used to drill,0
a train horn blows several times,0
a sewing machine runs and a door opens,0
wind blows and a motor vehicle engine runs,0
a man laughs and a woman speaks,0
a man speaks and a car passes by,0
a man speaks followed by a goat bleating,0
a clock ticking and a clock ticking,1
high frequency humming of a power tool,0
a large motor vehicle engine is running and accelerates and then fades somewhat,0
a sewing machine is in use and a door is closed,0
a door is followed by a woman speaking and a,1
Someone is typing on a typewriter,0
an emergency siren is triggered and moves closer,0
"Multiple bells are dinging, clanking and clinking against one another and the vibration of the movement is echoing",0
a motor vehicle engine is running and vibrating and hissing are present,0
a train horn blows and a train passes by,0
a sheep bleats and a woman screams,0
a bell is ringing and a horn is blown,0
a man speaks and a sheep bleating,0
the wind is blowing a motor vehicle engine is running water is splashing and an adult male speaks in the,1
a helicopter engine is running,0
A bell chiming continuously,0
"Laughter, burping, speaking",0
Several clinking sounds,0
a water faucet is turned on and off,0
a siren is triggered and a man speaks,0
a boat motor is running and water is splashing,0
A clock works while a bell rings,0
a pig oinks and a dog barks,0
an explosion occurs and then an explosion occurs,1
a bell ringing and a,1
a train engine is followed by a train horn blows,0
Drill being used,0
a man is speaking and laughing and a man laughs,1
dogs are barking in the distance and then people are talking in the background,0
a man speaks followed by a loud burst and then people laughing,0
Young woman speaking with crinkling noise,0
a drill is being used and a man speaks,0
a train horn sounds and a train moves getting closer,0
a person sneezing and sniffling,0
a dog is followed by a man speaking and laughing,0
a sewing machine is running and making a lot of noise in the background,0
a series of electronic beeps followed by a series of rapid clicks and a power tool drilling,0
Water flowing in a stream,0
a man speaks over a radio and a loud engine,0
A bell ringing and a horn blows from an oncoming train,0
a train running on railroad tracks followed by a train horn blowing as a railroad crossing signals ring in the,1
wind blows and a crowd cheers and a,1
a person burps loudly nearby loudly,0
A bird flaps its wings quickly,0
A woman is speaking,0
Loud deep snoring,0
a emergency vehicle siren is followed by a,1
a clock is chiming,0
Water running loudly,0
a rain falls on a surface and a,1
a door is closed and then a door closes,1
"People speak and scream in fun, wind blows and water flows",0
an engine running with some clanking and rustling,0
a pig oinks nearby several times,0
an adult male is speaking birds are chirping in the background,0
a woman is giving a speech,0
a power tool drilling followed by a man yelling in the background,0
some clicking followed by a loud bang,0
a woman speaks followed by a loud horn,0
a sewing machine is running and,1
a sewing machine works and then stops and starts again,0
a man speaks followed by a gunshot and a man speaking,1
a spray is released,0
A sewing machine hisses with phone ringing in the background,0
a sheep bleats nearby several times,0
a pig oinking followed by a,1
a man speaks as food sizzles in a pan,0
a train horn blows three times and then a click occurs,0
a man is speaking and clanging something,0
a duck quacking followed by a,1
a man speaks followed by a sewing machine working,0
a woman speaks and food sizzling in the background,0
a door slams and a child speaks,0
a train running on railroad tracks as a train horn blows,0
a machine gun fires followed by a gun being shot several times,1
a loud horn followed by an engine running and a loud horn,1
a horse is trotting and a,1
a man speaking followed by a loud popping and more laughter,0
an engine running consistently with light wind,0
a man yells followed by a loud explosion then people screaming,0
Something explodes then people laugh and talk,0
a duck quacks and a duck quacks,1
a birds chirping in the background,0
a man is speaking and laughing followed by a,1
a man speaks followed by a gun shot and a woman speaking,0
a siren wails and a vehicle engine runs,0
A train honks its horn,0
something is being sprayed,0
wind is blowing hard and people are talking and laughing,0
a woman speaks as food sizzles in a pan,0
a vehicle engine is idling and a door is closed,0
a car horn honks several times and then a car horn honks several times,1
a large motor vehicle engine is running and metal scraping is occurring,0
wind blows and a man speaks and a,1
Girl speaking and pouring water followed by two girls speaking at the same time,1
an aircraft engine works nearby,0
a motor vehicle engine is idling and vibrating and it accelerates somewhat,0
a machine motor humming as wood creaks and clacks,0
a clock chimes and ticks,0
an insect buzzing as a fly buzzes and a frog croaks followed by a frog croaking as a group of,1
A man talking followed by a young boy talking,0
water is running and gurgling and an adult male speaks,0
a power tool drilling followed by a,1
a man speaks followed by a gun being shot several times and then a man talks again,0
A baby laughing,0
a person is followed by a telephone rings,0
a man speaking followed by a toilet flushing,0
a large motor vehicle engine is running and vibrating and it decelerates somewhat somewhat,1
a sewing machine is being used,0
a train horn blows as a train horn blows in the distance and then a train horn blows in the,1
a spray is followed by a,1
a clock is ringing followed by a,1
a insects buzzing and a,1
a door opens and closes nearby,0
a child speaks and a woman speaks,0
a emergency vehicle siren is followed by wind blows and a,1
Kick starting a motorcycle and human speech,0
an adult female is speaking,0
a pig oinks loudly nearby multiple times,0
a birds chirping and tweeting,0
Dog barks and pants,0
a helicopter engine is running and vibrating,0
a man is speaking and a car engine is idling,0
a woman speaks followed by a child speaking and a,1
a toilet is running followed by a,1
a beep sounds several times and a woman speaks,0
a person is snoring and a,1
A soft clanking noise and then a louder clanking noise,0
a frog is croaking,0
a man speaks followed by a motorcycle engine starting up and running idle before a man speaks again,0
a bell is ringing and a horn is triggered,0
an engine is idling then is revved up sharply,0
a motor vehicle engine is running and accelerates and then fades somewhat,0
a sneeze followed by a sneeze,1
a power drill is being used,0
ducks quacking and a man speaking,0
a large motor vehicle engine is running and vibrating,0
A low hum of machinery and the clicking of silverware and pots and pans,1
an emergency vehicle siren is blowing and an adult male speaks in the background,0
an airplane flies by,0
"A motor vehicle engine is running, and car horns blow",0
An engine is idling while people speak,0
a sewing machine is running and making a sounds,0
a cat is meowing,0
a fire engine siren is blowing and a dog is barking,0
a woman speaks and laughs,0
An object being sanded,0
ticking of a clock with some light rustling,0
a vehicle engine is idling and revving,0
a man is giving a speech in the background,0
a helicopter flies nearby,0
a sewing machine is in use,0
a vehicle engine is revving up and then slows down,0
a duck quacking and water splashing,0
"Sizzling and crackling occur, and an adult male speaks",0
a toilet is flushed,0
a person burping followed by a person burping,1
an engine idles nearby and then revs up several times nearby,0
a sheep bleats and a man speaks,0
a machine works and a spray is triggered,0
music plays and a child speaks,0
A speedboat accelerating in the distance before driving by as water splashes and sprays,0
a crowd of people applauding and cheering,0
a man is speaking and a crowd cheers,0
a dog is barking and growling,0
a horse is followed by a woman speaking and a,1
a man speaks followed by a toilet flushing,0
Horses trotting as wood repeatedly clacks while wind blows heavily into a microphone,0
a dog is barking and people are talking in the background,0
an adult male is speaking and music is playing in the background,0
a vehicle engine is running and a,1
a sheep bleats followed by a scream and more screaming,0
a woman talks while something is fried,0
a man speaks and a car speeds by,0
"An adult male speaks, water is splashing, and a duck is peeping",0
ticking of a door,0
a vehicle horn honking followed by a,1
a loud explosion followed by an explosion and people cheering,1
music plays and then a baby cries,0
A small creature oinking,0
a clock ticktocks,0
a man speaks followed by a loud burst and then a man speaking,0
a man speaks and a beeping sound is heard,0
high frequency humming of a power tool with some rustling and wind blowing into a microphone followed by a power,1
a man speaks as food sizzles and dishes clank together,0
a bell is ringing followed by a,1
A series of train horns sounding over a train running on railroad tracks,0
a cat meows and a door is closed,0
a machine runs and then a burst,0
wind blows and a boat engine is running,0
a insect is buzzing and insects buzzing in the background,1
a man is speaking and birds chirping in the background,0
a man speaks followed by a loud explosion and a man speaking,1
a woman is speaking and water is rushing,0
water is trickling and a duck quacks,0
wind blows and a vehicle passes by,0
a cat meows followed by a door opening and closing,0
The wind blows and a distant engine hums,0
Water is running,0
a baby is crying and a man is laughing,0
a gun is followed by a man speaking and a,1
a motorcycle engine is idling and a,1
an aircraft engine is running and vibrating and it fades somewhat,0
a cat meows and a cat meows,1
an engine is idling,0
a machine works and a spray is released,0
wind blowing into a microphone followed by a man yelling and a vehicle driving by,0
an engine works in idle nearby,0
A baby is crying,0
a spraying followed by a spraying,1
a cat is meowing and a cat meows,1
wind blows and sheep bleat followed by a man speaking,0
a train horn blows as a train horn blows in the distance,1
a sewing machine works,0
A train passing by,0
a series of pressurized air spraying followed by compressed air releasing then a power tool drilling,0
a sewing machine is followed by a man speaking,0
an adult male is speaking and a motor vehicle engine is running,0
a man is speaking and a cat is meowing,0
A loud horn followed by aneengine running consistently,0
a man speaks followed by a beeping noise and a man speaking,1
A man communicates with a woman together with a cheering crowd,0
a large motor vehicle engine is running and fades somewhat,0
wind blows and a man is speaking and a,1
a frog croaks nearby multiple times,0
a duck quacking,0
a cat meows and a,1
an engine running followed by a man speaking,0
a motor vehicle engine is idling and vibrating and it accelerates,0
a horse is walking and people are talking,0
a large motor vehicle engine is running and vibrating and it fades somewhat,0
an adult male is speaking a motor vehicle engine is running and vibrating and an adult male speaks in the,1
a power tool is running followed by a,1
a crowd of people applauding and cheering and a man speaks,0
a person burps loudly nearby several times,0
a man speaking as food and oil sizzles,0
a spraying followed by a,1
Insects are buzzing,0
a siren whales and passes by,0
a man speaks as food sizzles,0
a machine motor humming as water splashes and sprays,0
a water is running and a woman speaks,0
a man is speaking and wind is blowing,0
"A large motor vehicle engine is running, and a train horn blows once",0
a sheep bleats nearby,0
food sizzles and a woman speaks,0
a beeping followed by a woman speaking and a,1
Several different men speaking with each other,0
a man speaks followed by a laughing and a,1
a gun is fired and a gun is shot several times,0
a sheep bleats followed by a woman screaming and a man screaming,0
a helicopter engine is running and a,1
people are talking and a gun is fired,0
A woman and man speak as sizzling food in a pan is stirred,0
a horn is triggered and a train moves getting closer,0
an adult male is speaking and a gun is fired,0
an engine running consistently,0
a helicopter flies nearby as music plays in the background,0
a sewing machine is followed by a man speaking and a,1
a sewing machine is running and a,1
ducks quack and a man speaks,0
a bell is chiming,0
a dog is barking and a person laughs,0
a person sneezes followed by a,1
a emergency vehicle siren is followed by a sirens in the,1
a vehicle horn honking followed by a train horn honking,0
a emergency vehicle siren is followed by wind blows in the background,0
a helicopter engine is running followed by music playing,0
a man speaking followed by a gun,0
water is running and gurgling,0
a train horn blows and a man speaks,0
A man talks while a goat bleats,0
An engine idles consistently before sputtering some,0
A small goat cries and man speaks,0
a small dog barks and growls,0
a loud explosion followed by music playing,0
a man talks while some wood is tapped,0
"Loud, long burps are created",0
wind is blowing hard and a motor vehicle engine is running and accelerates and fades somewhat,0
a helicopter engine running,0
a man speaking followed by a crowd of people applauding and cheering as a crowd of people talk in the,1
Ruffling noises then gunshots,0
Motors run as a voice plays over the loud speaker,0
a train horn is blowing and an adult male speaks in the background,0
a cat is meowing and a cat is meowing,1
an adult male is speaking and a motor vehicle engine is running in the background,0
A man is speaking followed by a vibration noise from an engine,0
a rooster crows and ducks are quacking,0
Whirling and vibrations of a running power tool,0
A ticktock sound is present and people are speaking in the background,0
Water is being poured,0
Clanging of items,0
People laughing and a little dog yipping,0
a sewing machine is running and then stops and starts again,0
a machine gun is being used,0
wind blows and people cheer and scream,0
a sheep bleats nearby several times nearby,1
Rain falls and people speak while walking on crunchy leaves,0
a sheep bleats and people speak,0
a car engine revving followed by a crowd of people talking,0
a frog croaks and a bird chirps,0
a woman speaks and a child cries and a,1
a man speaks followed by a beep and a man speaking,1
Wind is blowing hard over a microphone and water is lapping against a surface,0
a dog barks and growls,0
high pitched vibrations and humming of a power tool with some rustling,0
a birds chirping and a,1
Cat meowing and clicking noise,0
wind blows and sheep bleating and a man speaks,0
a man speaking and a vehicle passing by,0
a gun is followed by explosions and a,1
a horse is trotting and a dog barks,0
music is playing and a crowd of people are talking in the background followed by music playing,1
a door is followed by a woman speaking in the background,1
a bell is ringing,0
a bell is rung several times and a bell rings,1
a sewing machine runs and then stops,0
a man is speaking and a sewing machine,1
a large motor vehicle engine is running and vibrating and hissing is present,0
Birds chirp as wind blows,0
a man is speaking and a door,1
a train horn is triggered and a train moves getting closer,0
a crowd of people applauding and cheering as a crowd of people talk in the background followed by a man,1
Frogs croaking and insects making noise,0
a duck is quacking,0
a bird chirps and a dog barks,0
a sizzling sound is followed by a sizzle of frying food,1
bell ringing followed by a bell ringing,1
a sheep bleating and a,1
A baby is crying loudly,0
a vehicle engine is running and revving,0
a man speaks as a motor runs,0
Engine running with heavy wind,0
an adult female is speaking and a motor vehicle engine is running in the background,0
an adult male is speaking and a crowd of people are speaking in the background,0
a child speaks and a child speaks,1
a frog croaking followed by a,1
Man talking with waves rushing in background,0
a car engine is followed by a man speaking and a,1
a man speaks followed by a small engine starting,0
A beep goes off and a man speaks,0
Man speaking and then rapid gunfire,0
a person sneezes and sneezes,1
a car horn honks several times,0
a very soft electronic sound is followed by a soft voice,0
A man talks in a muffled voice,0
A dog is panting and barking,0
an emergency siren is triggered and a vehicle moves nearby,0
food sizzling and a,1
a spraying followed by spraying,1
a fly buzzing and a frog croaking,0
Continuous running water with some muffled speech,0
Scraping of wood,0
a machine works nearby,0
birds are chirping and dogs are barking in the background,0
a horse is followed by a woman laughing and a,1
a train horn blows and a bell rings,0
a gun is fired several times and a man speaks,0
a train horn honking followed by a,1
people are talking and water is splashing,0
a clock is ticking and people are talking in the background,0
a bird chirping followed by a,1
A man speaks with a crowd rustling,0
a woman laughs and a baby laughs,0
A woman's voice talking to a herd of sheep that are bleating,0
birds are chirping and singing in the background,0
a door is closed and birds are chirping,0
a sheep bleats nearby and then people talk in the distance and then a sheep bleats nearby,0
a ducks quacking and a,1
Humming with some faint continuous hissing,0
a boat engine is running and wind blows in the background,0
'A person snoring almost wheezing continuously,0
a machine gun fires rapidly nearby and then a machine gun fires rapidly nearby several times,1
Wind noise with a thunk near the end,0
